DBN,School Name,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses,latitude,longitude
29Q268,P.S./I.S. 268,7,0,0,7,40.7076726,-73.78523899999999
29Q295,P.S./I.S. 295,4,0,0,4,40.7207572,-73.7315386
29Q313,Benjamin Franklin High School for Finance & Information Technology,10,0,7,3,40.6981894,-73.7460088
29Q326,Cambria Heights Academy,4,0,4,0,40.7116047,-73.7709697
29Q355,Collaborative Arts Middle School,3,0,3,0,40.6793574,-73.7556448
29Q498,Humanities & Arts Magnet High School,3,0,3,0,40.6981894,-73.74600889999999
30Q002,P.S. 002 Alfred Zimberg,6,0,6,0,40.7701514,-73.894241
30Q078,P.S./I.S. 78Q,2,0,2,0,40.7444645,-73.95766569999999
30Q127,P.S. 127 Aerospace Science Magnet School,1,0,0,1,40.7648949,-73.871344
30Q212,P.S. 212,6,0,1,5,40.7530139,-73.8847361
30Q227,I.S. 227 Louis Armstrong,3,0,3,0,40.7584101,-73.87480359999999
30Q234,P.S. 234,6,0,6,0,40.7160283,-74.01160469999999
30Q235,Academy for New Americans,3,0,3,0,40.7669149,-73.92305739999999
30Q280,P.S. 280,1,0,0,1,40.753955,-73.87386529999999
30Q286,Young Women's Leadership School of Astoria,2,0,2,0,40.7712552,-73.924167
30Q300,The 30th Avenue School (G&T Citywide),7,0,7,0,40.7682591,-73.9227536
30Q445,William Cullen Bryant High School,2,1,1,1,40.7579559,-73.9104705
30Q450,Long Island City High School,3,0,3,0,40.76557210000001,-73.9326231
30Q502,Information Technology High School,5,1,2,3,40.7484914,-73.946552
31R002,I.S. R002 George L. Egbert,2,0,2,0,40.5771853,-74.10071289999999
31R004,P.S. 004 Maurice Wollin,6,0,6,0,40.5523733,-74.19551609999999
31R007,I.S. 007 Elias Bernstein,3,0,3,0,40.5232,-74.1862893
31R011,P.S. 11 Thomas Dongan School,6,0,6,0,40.5907446,-74.09793549999999
31R013,P.S. 013 M. L. Lindemeyer,6,0,0,6,40.6129942,-74.06930249999999
31R021,P.S. 21 Margaret Emery-Elm Park,6,0,0,6,40.6310847,-74.1441275
31R022,P.S. 022 Graniteville,6,0,0,6,40.6249844,-74.1504271
31R023,P.S. 023 Richmondtown,6,0,6,0,40.5705843,-74.1334719
31R032,P.S. 032 The Gifford School,6,0,6,0,40.5586832,-74.1550063
31R036,P.S. 036 J. C. Drumgoole,6,0,6,0,40.5430821,-74.1828036
31R041,The Stephanie A. Vierno School,6,0,6,0,40.5739028,-74.1091347
31R048,P.S. 048 William G. Wilcox,3,0,0,3,40.6028266,-74.09183999999999
31R052,P.S. 052 John C. Thompson,6,0,0,6,40.5824372,-74.0886964
31R053,The Barbara Esselborn School,3,0,1,2,40.55212849999999,-74.137382
31R057,P.S. 057 Hubert H. Humphrey,4,0,0,4,40.6113858,-74.0833456
31R061,I.S. 061 William A Morris,3,0,3,0,40.634527,-74.09799199999999
31R069,P.S. 069 Daniel D. Tompkins,3,0,3,0,40.5912425,-74.15738999999999
31R072,I.S. 072 Rocco Laurie,3,0,3,0,40.5926924,-74.15903879999999
31R075,I.S. 075 Frank D. Paulo,3,0,3,0,40.54436070000001,-74.1975
31R440,New Dorp High School,12,0,12,0,40.5695781,-74.1073767
31R445,Port Richmond High School,2,1,2,0,40.634843,-74.142015
31R455,Tottenville High School,2,2,2,0,40.5278857,-74.19325529999999
31R470,Concord High School,3,1,3,0,40.6107,-74.0865
31R600,Ralph R. McKee Career and Technical Education High,3,1,3,0,40.6429302,-74.0792273
31R605,Staten Island Technical High School,2,0,2,0,40.5679259,-74.1156914
31R861,Staten Island School of Civic Leadership,7,0,0,7,40.620326,-74.164432
32K116,P.S. 116 Elizabeth L Farrell,2,0,1,1,40.6980563,-73.91649579999999
32K162,J.H.S. 162 The Willoughby,2,0,2,0,40.7067061,-73.9196324
32K168,The Brooklyn School for Math and Research,1,0,1,0,40.6970064,-73.9117456
32K376,P.S. 376,6,0,0,6,40.698048,-73.92016600000001
32K552,Academy of Urban Planning,1,0,1,0,40.6968124,-73.9117231
32K554,All City Leadership Secondary School,2,1,2,0,40.6975906,-73.91309729999999
75K141,P.S. K141,6,0,6,0,40.6563887,-73.95146179999999
75K368,P.S. 368,18,0,4,14,40.6968241,-73.9473055
75K370,P.S. 370,7,0,7,0,40.577692,-73.9696654
75K811,P.S. K811 Connie Lekas School,1,0,0,1,40.5912252,-73.938828
75M138,P.S. 138,7,0,0,7,40.6736262,-73.95125150000001
75R037,P.S. R037,9,0,9,0,40.564094,-74.151375
75X188,P.S. X188,4,0,1,3,40.8504842,-73.8838411
75X754,J. M. Rapport School Career Development,2,0,2,0,40.8110051,-73.9090595
02M289,I.S. 289,2,0,0,2,40.717250,-74.013880
17K382,Academy for College Preparation and Career Exploration,4,0,0,4,40.649502,-73.958260
27Q650,High School for Construction Trades and Engineering,1,1,1,0,40.6892721,-73.8409033
75X811,P.S. X811,2,0,2,0,40.830421,-73.8875704
